"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://unityverseacademy.com/urun/gelismis-autocad-elektrik-projeciligi-egitimi-yapi-denetim-odakli-uygulamali-1635/","1","Gelişmiş AutoCAD Elektrik Projeciliği Eğitimi (Yapı Denetim Odaklı – Uygulamalı)","80","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-5-gorsellestirme-ve-animasyon-yuz-yuze-egitim-1032/","1","Unreal Engine 5 ile Mimari Görselleştirme ve Sinematik Animasyon Kursu – Yüz Yüze","81","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-online-1536/","1","ZBrush ile 3D Kuyumculuk & Takı Tasarımı Kursu – Online (Dijital Mücevher & 3D Baskı)","85","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-yuz-yuze-egitimi-590/","1","ZBrush ile Organik & Karakter Modelleme Kursu – Yüz Yüze (Dijital Sculpting)","76","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-canli-yuz-yuze-ozel-ders-1533/","1","ZBrush Organik Modelleme Özel Ders – Birebir Yüz Yüze (Sculpting & Anatomi)","75","Indexable",""
"https://unityverseacademy.com/urun/flutter-ile-mobil-uygulama-gelistirme-yuz-yuze-egitimi-606/","1","Flutter & Dart ile Cross-Platform Mobil Uygulama Geliştirme Kursu – Yüz Yüze","76","Indexable",""
"https://unityverseacademy.com/urun/cocuklar-icin-unity-ile-oyun-gelistirme-canli-online-egitimi-1380/","1","Çocuklar İçin Unity ile Oyun Geliştirme ve Kodlama Kursu – Online Canlı (7-17 Yaş)","82","Indexable",""
"https://unityverseacademy.com/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-online-1540/","1","ZBrush Kapsamlı Sculpting Kursu – 36 Saat Online (Organik & Hard Surface)","73","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-oyun-gelistirme-150-saatlik-kapsamli-blueprintmufredati-yuz-yuze-egitim-1116/","1","Unreal Engine 5 Blueprint ile Kodsuz Oyun Geliştirme Kursu – 150 Saat Yüz Yüze","78","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-yuz-yuze-1535/","1","ZBrush ile 3D Kuyumculuk & Takı Tasarımı Kursu – Yüz Yüze (Dijital Mücevher & Prototip)","87","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-metaverse-gelistirme-yuz-yuze-egitim-850/","1","Unreal Engine 5 ile Metaverse & Sanal Dünya Geliştirme Kursu – Yüz Yüze","71","Indexable",""
"https://unityverseacademy.com/urun/3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-yuz-yuze-1615/","1","3ds Max + Corona ile Fotogerçekçi Mimari Görselleştirme Eğitimi Yüz Yüze","72","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-metaverse-gelistirme-online-canli-egitim-851/","1","Unreal Engine 5 ile Metaverse & Sanal Dünya Geliştirme Kursu – Online Canlı","75","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-canli-online-ozel-ders-1052/","1","ZBrush Organik Modelleme Özel Ders – Birebir Online (Sculpting & Karakter)","74","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-100-saat-1592/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Yüz Yüze 100 Saat","82","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-online-egitimi-1528/","1","ZBrush ile Organik & Karakter Modelleme Kursu – Online Canlı (Dijital Sculpting)","80","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-sanal-gerceklik-online-canli-egitim-653/","1","Unreal Engine 5 ile VR / Sanal Gerçeklik Geliştirme Kursu – Online Canlı","72","Indexable",""
"https://unityverseacademy.com/urun/dijital-pazarlama-pazar-yeri-ve-e-ticaret-yoneticiligi-egitimi-25-saat-ozel-ders-1298/","1","Dijital Pazarlama, Pazar Yeri ve E-Ticaret Yöneticiliği Eğitimi 25 Saat Özel Ders","81","Indexable",""
"https://unityverseacademy.com/urun/cocuklar-icin-minecraft-ile-kodlama-egitimi-1689/","1","Çocuklar İçin Minecraft Education ile Kodlama ve Programlama Kursu (8-14 Yaş)","77","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-ozel-ders-1368/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Özel Ders","80","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-oyun-gelistirme-ozel-ders-online-canli-egitim-100-saat-1303/","1","Unreal Engine 5 ile Oyun Geliştirme Özel Ders – 100 Saat Online Blueprint & C++","79","Indexable",""
"https://unityverseacademy.com/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-yuz-yuze-1539/","1","ZBrush Kapsamlı Sculpting Kursu – 36 Saat Yüz Yüze (Organik & Hard Surface)","75","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-1504/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Yüz Yüze","73","Indexable",""
